season,year,date,platform,source_manifest_item_id,measurement_item_id,selected_month,fallback_month,confidence,clear_fraction_measurement_aoi,pond_area_m2,pond_low_m2,pond_high_m2,lake_area_m2,lake_low_m2,lake_high_m2,sanity_warnings
spring,1990,1990-05-02,landsat-5,LT05_L2SP_190023_19900502_02_T1,LT05_L2SP_190023_19900502_02_T1,5,False,high,1.0,0.0,0.0,0.0,900.0,0.0,8100.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1991,1991-05-30,landsat-5,LT05_L2SP_189023_19910530_02_T1,LT05_L2SP_189023_19910530_02_T1,5,False,high,0.973208,900.0,0.0,8100.0,322200.0,179100.0,476100.0,
spring,1992,1992-05-16,landsat-5,LT05_L2SP_189023_19920516_02_T1,LT05_L2SP_189023_19920516_02_T1,5,False,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1993,1993-05-10,landsat-5,LT05_L2SP_190023_19930510_02_T1,LT05_L2SP_190023_19930510_02_T1,5,False,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1994,1994-05-06,landsat-5,LT05_L2SP_189023_19940506_02_T1,LT05_L2SP_189023_19940506_02_T1,5,False,high,1.0,0.0,0.0,0.0,900.0,0.0,8100.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1995,1995-04-23,landsat-5,LT05_L2SP_189023_19950423_02_T1,LT05_L2SP_189023_19950423_02_T1,4,True,high,1.0,0.0,0.0,0.0,354600.0,157500.0,549000.0,strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1996,1996-05-27,landsat-5,LT05_L2SP_189023_19960527_02_T1,LT05_L2SP_189023_19960527_02_T1,5,False,high,1.0,0.0,0.0,0.0,0.0,0.0,0.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1997,1997-04-19,landsat-5,LT05_L2SP_190023_19970419_02_T1,LT05_L2SP_190023_19970419_02_T1,4,True,low,0.616401,0.0,0.0,0.0,393300.0,212400.0,578700.0,low_clear_fraction_measurement_aoi|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1998,1998-05-17,landsat-5,LT05_L2SP_189023_19980517_02_T1,LT05_L2SP_189023_19980517_02_T1,5,False,high,1.0,0.0,0.0,0.0,900.0,0.0,8100.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
spring,1999,1999-05-20,landsat-5,LT05_L2SP_189023_19990520_02_T1,LT05_L2SP_189023_19990520_02_T1,5,False,high,1.0,0.0,0.0,0.0,900.0,0.0,8100.0,lake_kuchnia_mask_implausibly_small_review_required|strict_spectral_classifier_found_no_connected_open_water_at_forest_pond_seed_do_not_interpret_as_proof_of_absence
