year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.995099,1.0,0.996216,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-09-28,landsat-5,30,9,False,63.0,0.867677,1.0,0.879843,ok,LT05_L2SP_190023_19920928_02_T1
1993,1993-10-01,landsat-5,30,10,True,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190022_19931001_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19941020_02_T1
1995,1995-11-17,landsat-5,30,11,True,38.0,0.994876,1.0,0.977567,ok,LT05_L2SP_189023_19951117_02_T2
1996,1996-09-23,landsat-5,30,9,False,22.0,1.0,1.0,0.989,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-09-03,landsat-5,30,9,False,34.0,1.0,1.0,0.983,ok,LT05_L2SP_189023_19970903_02_T1
1998,1998-09-06,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,1.0,1.0,0.9975,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,1.0,1.0,0.9955,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,1.0,1.0,0.95,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-09,landsat-7,30,9,False,3.0,0.997995,1.0,0.997157,ok,LE07_L2SP_189023_20020909_02_T1
2003,2003-09-28,landsat-7,30,9,False,12.0,1.0,0.755848,0.925637,ok,LE07_L2SP_189023_20030928_02_T1
2004,2004-09-06,landsat-5,30,9,False,15.0,0.83337,1.0,0.880858,ok,LT05_L2SP_189023_20040906_02_T1
2005,2005-09-09,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-06,landsat-5,30,9,False,32.0,1.0,1.0,0.984,ok,LT05_L2SP_190023_20070906_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,1.0,0.765872,0.884444,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-20,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20090920_02_T1
2010,2010-09-23,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20100923_02_T1
2011,2011-09-17,landsat-5,30,9,False,42.0,0.84384,1.0,0.874373,ok,LT05_L2SP_190023_20110917_02_T1
2012,2012-09-11,landsat-7,30,9,False,2.0,1.0,0.780575,0.937561,ok,LE07_L2SP_190023_20120911_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,1.0,1.0,0.999995,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,1.0,1.0,0.99999,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-29,landsat-7,30,9,False,45.0,1.0,0.752283,0.908139,ok,LE07_L2SP_189023_20150929_02_T1
2016,2016-09-07,landsat-8,30,9,False,0.42,1.0,1.0,0.99979,ok,LC08_L2SP_189023_20160907_02_T1
2017,2017-09-20,Sentinel-2B,10,9,False,21.285766,0.9998,1.0,1.014223,ok,S2B_MSIL2A_20170920T095019_R079_T34UCE_20210202T070142
2018,2018-09-03,Sentinel-2A,10,9,False,5.112681,0.9999,1.0,1.022377,ok,S2A_MSIL2A_20180903T100021_R122_T34UCE_20201011T075930
2019,2019-09-05,Sentinel-2A,10,9,False,33.96981,0.9948,1.0,1.004531,ok,S2A_MSIL2A_20190905T095031_R079_T34UCE_20201004T093100
2020,2020-09-24,Sentinel-2B,10,9,False,4.762012,1.0,1.0,1.022619,ok,S2B_MSIL2A_20200924T095029_R079_T33UYV_20200926T132532
2021,2021-09-27,Sentinel-2A,10,9,False,0.330401,0.9998,1.0,1.024701,ok,S2A_MSIL2A_20210927T100031_R122_T33UYV_20210927T175724
2022,2022-09-04,Sentinel-2B,10,9,False,24.14601,1.0,1.0,1.012927,ok,S2B_MSIL2A_20220904T094549_R079_T33UYV_20240731T165745
2023,2023-09-12,Sentinel-2B,10,9,False,0.123749,1.0,1.0,1.024938,ok,S2B_MSIL2A_20230912T095609_R122_T33UYV_20241103T122113
2024,2024-09-08,Sentinel-2A,10,9,False,0.007657,1.0,1.0,1.024996,ok,S2A_MSIL2A_20240908T095031_R079_T33UYV_20240908T133147
2025,2025-09-24,landsat-9,30,9,False,0.75,1.0,1.0,0.999625,ok,LC09_L2SP_189023_20250924_02_T1
2026,,,,,,,,,,not_found_or_rejected,
