year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.999604,1.0,0.999235,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-10-14,landsat-5,30,10,True,6.0,0.969925,1.0,0.97685,ok,LT05_L2SP_190023_19921014_02_T1
1993,1993-10-01,landsat-5,30,10,True,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190022_19931001_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19941020_02_T1
1995,1995-11-17,landsat-5,30,11,True,38.0,0.171462,1.0,0.42588,ok,LT05_L2SP_189023_19951117_02_T2
1996,1996-09-23,landsat-5,30,9,False,22.0,1.0,1.0,0.989,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-10-21,landsat-5,30,10,True,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_19971021_02_T1
1998,1998-09-06,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,1.0,1.0,0.9975,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,1.0,1.0,0.9955,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,1.0,1.0,0.95,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-25,landsat-7,30,9,False,16.0,1.0,1.0,0.992,ok,LE07_L2SP_189023_20020925_02_T1
2003,2003-11-06,landsat-7,30,11,True,59.0,0.999931,0.816722,0.919136,ok,LE07_L2SP_190023_20031106_02_T1
2004,2004-11-16,landsat-5,30,11,True,30.0,0.572163,1.0,0.69835,ok,LT05_L2SP_190023_20041116_02_T1
2005,2005-09-09,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-06,landsat-5,30,9,False,32.0,1.0,1.0,0.984,ok,LT05_L2SP_190023_20070906_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,1.0,0.710498,0.868939,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-20,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20090920_02_T1
2010,2010-09-23,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20100923_02_T1
2011,2011-09-01,landsat-5,30,9,False,75.0,0.922777,1.0,0.910761,ok,LT05_L2SP_190023_20110901_02_T1
2012,2012-09-11,landsat-7,30,9,False,2.0,1.0,0.836396,0.953191,ok,LE07_L2SP_190023_20120911_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,1.0,1.0,0.999995,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,1.0,1.0,0.99999,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-29,Sentinel-2A,10,9,False,17.578471,0.988775,1.0,1.00869,ok,S2A_MSIL2A_20150929T100016_R122_T34UCE_20210412T130945
2016,2016-09-03,Sentinel-2A,10,9,False,15.809911,1.0,1.0,1.017095,ok,S2A_MSIL2A_20160903T100032_R122_T33UYV_20210212T210307
2017,2017-09-28,Sentinel-2A,10,9,False,2.676222,1.0,1.0,1.023662,ok,S2A_MSIL2A_20170928T100021_R122_T34UCE_20210202T110615
2018,2018-09-03,Sentinel-2A,10,9,False,5.112681,0.99995,1.0,1.02241,ok,S2A_MSIL2A_20180903T100021_R122_T34UCE_20201011T075930
2019,2019-09-23,landsat-8,30,9,False,60.9,0.865001,1.0,0.879101,ok,LC08_L2SP_190022_20190923_02_T1
2020,2020-09-12,Sentinel-2A,10,9,False,0.483824,1.0,1.0,1.024758,ok,S2A_MSIL2A_20200912T100031_R122_T33UYV_20200918T134152
2021,2021-09-27,Sentinel-2A,10,9,False,0.330401,1.0,1.0,1.024835,ok,S2A_MSIL2A_20210927T100031_R122_T33UYV_20210927T175724
2022,2022-09-04,Sentinel-2B,10,9,False,24.363311,0.982125,1.0,1.000842,ok,S2B_MSIL2A_20220904T094549_R079_T34UCE_20240731T165745
2023,2023-09-12,Sentinel-2B,10,9,False,0.123749,1.0,1.0,1.024938,ok,S2B_MSIL2A_20230912T095609_R122_T33UYV_20241103T122113
2024,2024-09-08,Sentinel-2A,10,9,False,0.007657,1.0,1.0,1.024996,ok,S2A_MSIL2A_20240908T095031_R079_T33UYV_20240908T133147
2025,2025-09-26,Sentinel-2C,10,9,False,0.012366,1.0,1.0,1.024994,ok,S2C_MSIL2A_20250926T100041_R122_T33UYV_20250926T152116
2026,,,,,,,,,,not_found_or_rejected,
