year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.991806,1.0,0.99401,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-09-28,landsat-5,30,9,False,63.0,1.0,1.0,0.9685,ok,LT05_L2SP_190023_19920928_02_T1
1993,1993-09-08,landsat-5,30,9,False,7.0,0.800054,1.0,0.862536,ok,LT05_L2SP_189023_19930908_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,0.999955,1.0,0.94997,ok,LT05_L2SP_190023_19941020_02_T1
1995,1995-10-23,landsat-5,30,10,True,46.0,0.783351,1.0,0.831845,ok,LT05_L2SP_190023_19951023_02_T1
1996,1996-09-23,landsat-5,30,9,False,22.0,1.0,1.0,0.989,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-10-21,landsat-5,30,10,True,4.0,0.999955,1.0,0.99797,ok,LT05_L2SP_189023_19971021_02_T1
1998,1998-09-06,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,1.0,1.0,0.9975,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,1.0,1.0,0.9955,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,0.999865,1.0,0.94991,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-25,landsat-7,30,9,False,16.0,1.0,1.0,0.992,ok,LE07_L2SP_189023_20020925_02_T1
2003,2003-09-20,landsat-5,30,9,False,19.0,0.919815,1.0,0.936776,ok,LT05_L2SP_189023_20030920_02_T1
2004,2004-09-06,landsat-5,30,9,False,15.0,1.0,1.0,0.9925,ok,LT05_L2SP_189023_20040906_02_T1
2005,2005-09-09,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-06,landsat-5,30,9,False,32.0,1.0,1.0,0.984,ok,LT05_L2SP_190023_20070906_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,1.0,0.709063,0.868538,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-27,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_20090927_02_T2
2010,2010-09-23,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20100923_02_T1
2011,2011-09-01,landsat-5,30,9,False,75.0,1.0,1.0,0.9625,ok,LT05_L2SP_190023_20110901_02_T1
2012,2012-09-11,landsat-7,30,9,False,2.0,1.0,0.836928,0.95334,ok,LE07_L2SP_190023_20120911_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,1.0,1.0,0.999995,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,1.0,1.0,0.99999,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-29,Sentinel-2A,10,9,False,16.712859,0.9778,1.0,1.00177,ok,S2A_MSIL2A_20150929T100016_R122_T33UYV_20210412T130930
2016,2016-09-13,Sentinel-2A,10,9,False,0.752187,0.99172,1.0,1.019076,ok,S2A_MSIL2A_20160913T100022_R122_T34UCE_20210213T003126
2017,2017-09-28,Sentinel-2A,10,9,False,2.730001,0.99444,1.0,1.01991,ok,S2A_MSIL2A_20170928T100021_R122_T33UYV_20210202T110611
2018,2018-09-10,Sentinel-2A,10,9,False,12.599986,0.99982,1.0,1.018579,ok,S2A_MSIL2A_20180910T095031_R079_T33UYV_20201008T233531
2019,2019-09-03,Sentinel-2B,10,9,False,22.126341,0.92424,1.0,0.963178,ok,S2B_MSIL2A_20190903T100029_R122_T34UCE_20201004T085601
2020,2020-09-14,Sentinel-2B,10,9,False,4.108778,0.99992,1.0,1.022892,ok,S2B_MSIL2A_20200914T095029_R079_T33UYV_20200917T145046
2021,2021-09-07,Sentinel-2A,10,9,False,3.109005,0.99694,1.0,1.021395,ok,S2A_MSIL2A_20210907T100031_R122_T33UYV_20210907T203112
2022,2022-09-08,landsat-8,30,9,False,24.16,1.0,1.0,0.98792,ok,LC08_L2SP_189023_20220908_02_T1
2023,2023-09-12,Sentinel-2B,10,9,False,0.123749,1.0,1.0,1.024938,ok,S2B_MSIL2A_20230912T095609_R122_T33UYV_20241103T122113
2024,2024-09-08,Sentinel-2A,10,9,False,0.007657,1.0,1.0,1.024996,ok,S2A_MSIL2A_20240908T095031_R079_T33UYV_20240908T133147
2025,2025-09-26,Sentinel-2C,10,9,False,0.012366,1.0,1.0,1.024994,ok,S2C_MSIL2A_20250926T100041_R122_T33UYV_20250926T152116
2026,,,,,,,,,,not_found_or_rejected,
