year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-05-02,landsat-5,30,5,False,1.0,1.0,1.0,0.9995,ok,LT05_L2SP_190023_19900502_02_T1
1991,1991-05-30,landsat-5,30,5,False,14.0,1.0,1.0,0.993,ok,LT05_L2SP_189023_19910530_02_T1
1992,1992-05-16,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_19920516_02_T1
1993,1993-05-10,landsat-5,30,5,False,6.0,1.0,1.0,0.997,ok,LT05_L2SP_190023_19930510_02_T1
1994,1994-05-06,landsat-5,30,5,False,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_19940506_02_T1
1995,1995-04-23,landsat-5,30,4,True,0.0,0.999955,1.0,0.94997,ok,LT05_L2SP_189023_19950423_02_T1
1996,1996-05-18,landsat-5,30,5,False,11.0,1.0,1.0,0.9945,ok,LT05_L2SP_190023_19960518_02_T1
1997,1997-05-14,landsat-5,30,5,False,7.0,0.861555,1.0,0.903742,ok,LT05_L2SP_189023_19970514_02_T1
1998,1998-05-17,landsat-5,30,5,False,11.0,1.0,1.0,0.9945,ok,LT05_L2SP_189023_19980517_02_T1
1999,1999-05-20,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_19990520_02_T1
2000,2000-05-13,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_20000513_02_T1
2001,2001-05-08,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_190023_20010508_02_T1
2002,2002-05-04,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_189023_20020504_02_T1
2003,2003-05-30,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_190023_20030530_02_T1
2004,2004-05-01,landsat-5,30,5,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20040501_02_T1
2005,2005-05-20,landsat-5,30,5,False,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_20050520_02_T1
2006,2006-05-07,landsat-5,30,5,False,5.0,1.0,1.0,0.9975,ok,LT05_L2SP_189023_20060507_02_T1
2007,2007-05-25,landsat-7,30,5,False,3.0,1.0,0.82153,0.948528,ok,LE07_L2SP_190023_20070525_02_T1
2008,2008-05-28,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20080528_02_T1
2009,2009-05-15,landsat-5,30,5,False,8.0,0.963802,1.0,0.971747,ok,LT05_L2SP_189023_20090515_02_T1
2010,2010-04-16,landsat-5,30,4,True,14.0,0.848408,1.0,0.891434,ok,LT05_L2SP_189023_20100416_02_T1
2011,2011-05-20,landsat-7,30,5,False,27.0,0.95294,0.828508,0.906952,ok,LE07_L2SP_190023_20110520_02_T1
2012,2012-05-22,landsat-7,30,5,False,4.0,0.999831,0.797128,0.941082,ok,LE07_L2SP_190023_20120522_02_T1
2013,2013-05-17,landsat-8,30,5,False,19.49,1.0,1.0,0.990255,ok,LC08_L2SP_190023_20130517_02_T1
2014,2014-05-20,landsat-8,30,5,False,9.54,0.915222,1.0,0.938429,ok,LC08_L2SP_190023_20140520_02_T1
2015,2015-05-07,landsat-8,30,5,False,5.64,1.0,1.0,0.99718,ok,LC08_L2SP_190023_20150507_02_T1
2016,2016-05-06,Sentinel-2A,10,5,False,0.920345,0.99232,1.0,1.019394,ok,S2A_MSIL2A_20160506T100032_R122_T33UYV_20210211T090201
2017,2017-05-18,Sentinel-2A,10,5,False,0.067295,0.98962,1.0,1.018012,ok,S2A_MSIL2A_20170518T095031_R079_T33UYV_20210209T162320
2018,2018-05-08,Sentinel-2B,10,5,False,0.059469,0.99094,1.0,1.0189,ok,S2B_MSIL2A_20180508T095029_R079_T34UCE_20201012T072713
2019,2019-05-01,Sentinel-2A,10,5,False,2.765254,0.99862,1.0,1.022693,ok,S2A_MSIL2A_20190501T100031_R122_T33UYV_20201006T083634
2020,2020-05-22,Sentinel-2A,10,5,False,11.855619,0.99568,1.0,1.016178,ok,S2A_MSIL2A_20200522T095041_R079_T34UCE_20200910T132336
2021,2021-05-12,Sentinel-2B,10,5,False,0.106014,0.98636,1.0,1.015808,ok,S2B_MSIL2A_20210512T095029_R079_T33UYV_20210606T074105
2022,2022-05-10,Sentinel-2B,10,5,False,24.608648,1.0,1.0,1.012696,ok,S2B_MSIL2A_20220510T100029_R122_T33UYV_20240612T220829
2023,2023-05-27,Sentinel-2A,10,5,False,1.837752,0.99918,1.0,1.023532,ok,S2A_MSIL2A_20230527T095031_R079_T33UYV_20230527T161030
2024,2024-05-01,Sentinel-2A,10,5,False,0.510306,0.9998,1.0,1.024611,ok,S2A_MSIL2A_20240501T095031_R079_T33UYV_20240501T154122
2025,2025-05-06,Sentinel-2C,10,5,False,0.252054,1.0,1.0,1.024874,ok,S2C_MSIL2A_20250506T095051_R079_T33UYV_20250506T121455
2026,2026-05-01,Sentinel-2C,10,5,False,0.000367,1.0,1.0,1.025,ok,S2C_MSIL2A_20260501T095031_R079_T33UYV_20260501T132213
