year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.994933,1.0,0.996105,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,0.999985,1.0,0.94999,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-09-12,landsat-5,30,9,False,54.0,0.83364,1.0,0.861539,ok,LT05_L2SP_190023_19920912_02_T1
1993,1993-09-08,landsat-5,30,9,False,7.0,0.885652,1.0,0.919887,ok,LT05_L2SP_189023_19930908_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,0.999952,1.0,0.949968,ok,LT05_L2SP_190023_19941020_02_T1
1995,1995-11-08,landsat-5,30,11,True,66.0,0.869242,1.0,0.879392,ok,LT05_L2SP_190023_19951108_02_T2
1996,1996-09-23,landsat-5,30,9,False,22.0,0.999998,1.0,0.988999,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-09-26,landsat-5,30,9,False,55.0,0.937135,1.0,0.930381,ok,LT05_L2SP_190023_19970926_02_T1
1998,1998-09-06,landsat-5,30,9,False,2.0,0.801815,1.0,0.866216,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,0.999992,1.0,0.997494,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,0.984694,1.0,0.985245,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,0.999933,1.0,0.949955,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-25,landsat-7,30,9,False,16.0,0.999967,1.0,0.991978,ok,LE07_L2SP_189023_20020925_02_T1
2003,2003-09-27,landsat-5,30,9,False,46.0,0.810512,1.0,0.850043,ok,LT05_L2SP_190023_20030927_02_T1
2004,2004-09-06,landsat-5,30,9,False,15.0,0.89114,1.0,0.919564,ok,LT05_L2SP_189023_20040906_02_T1
2005,2005-09-09,landsat-5,30,9,False,2.0,0.999983,1.0,0.998989,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,0.999983,1.0,0.949989,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-06,landsat-5,30,9,False,32.0,0.91704,1.0,0.928417,ok,LT05_L2SP_190023_20070906_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,0.999901,0.880448,0.916459,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-20,landsat-5,30,9,False,0.0,0.999962,1.0,0.949975,ok,LT05_L2SP_189023_20090920_02_T1
2010,2010-09-23,landsat-5,30,9,False,0.0,0.999942,1.0,0.949961,ok,LT05_L2SP_189023_20100923_02_T1
2011,2011-09-17,landsat-5,30,9,False,42.0,0.763527,1.0,0.820563,ok,LT05_L2SP_190023_20110917_02_T1
2012,2012-09-11,landsat-7,30,9,False,2.0,0.999963,0.671254,0.906926,ok,LE07_L2SP_190023_20120911_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,0.99611,1.0,0.997389,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,0.999902,1.0,0.999924,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-19,Sentinel-2A,10,9,False,2.977854,0.846515,1.0,0.920676,ok,S2A_MSIL2A_20150919T100016_R122_T34UCE_20210412T111447
2016,2016-09-10,Sentinel-2A,10,9,False,18.178848,0.99916,1.0,1.015348,ok,S2A_MSIL2A_20160910T095032_R079_T33UYV_20210212T232712
2017,2017-09-28,Sentinel-2A,10,9,False,2.730001,0.933625,1.0,0.979164,ok,S2A_MSIL2A_20170928T100021_R122_T33UYV_20210202T110611
2018,2018-09-10,Sentinel-2A,10,9,False,13.458282,0.987366,1.0,1.009806,ok,S2A_MSIL2A_20180910T095031_R079_T34UCE_20201008T233522
2019,2019-09-05,Sentinel-2A,10,9,False,33.96981,0.933762,1.0,0.963636,ok,S2A_MSIL2A_20190905T095031_R079_T34UCE_20201004T093100
2020,2020-09-24,Sentinel-2B,10,9,False,4.762012,0.999405,1.0,1.02222,ok,S2B_MSIL2A_20200924T095029_R079_T33UYV_20200926T132532
2021,2021-09-27,Sentinel-2A,10,9,False,0.330401,0.99886,0.999999,1.024071,ok,S2A_MSIL2A_20210927T100031_R122_T33UYV_20210927T175724
2022,2022-09-07,Sentinel-2B,10,9,False,36.093304,1.0,1.0,1.006953,ok,S2B_MSIL2A_20220907T095549_R122_T33UYV_20220908T011022
2023,2023-09-12,Sentinel-2B,10,9,False,0.123749,0.999894,1.0,1.024867,ok,S2B_MSIL2A_20230912T095609_R122_T33UYV_20241103T122113
2024,2024-09-08,Sentinel-2A,10,9,False,0.007657,1.0,1.0,1.024996,ok,S2A_MSIL2A_20240908T095031_R079_T33UYV_20240908T133147
2025,2025-09-26,Sentinel-2C,10,9,False,0.012366,0.999963,1.0,1.024969,ok,S2C_MSIL2A_20250926T100041_R122_T33UYV_20250926T152116
2026,,,,,,,,,,not_found_or_rejected,
