year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-05-11,landsat-5,30,5,False,3.0,0.952567,1.0,0.96672,ok,LT05_L2SP_189023_19900511_02_T1
1991,1991-05-30,landsat-5,30,5,False,14.0,0.923446,1.0,0.941709,ok,LT05_L2SP_189023_19910530_02_T1
1992,1992-05-16,landsat-5,30,5,False,0.0,0.999996,1.0,0.949997,ok,LT05_L2SP_189023_19920516_02_T1
1993,1993-05-10,landsat-5,30,5,False,6.0,1.0,1.0,0.997,ok,LT05_L2SP_190023_19930510_02_T1
1994,1994-05-06,landsat-5,30,5,False,4.0,0.983575,1.0,0.986995,ok,LT05_L2SP_189023_19940506_02_T1
1995,1995-04-23,landsat-5,30,4,True,0.0,0.99999,1.0,0.949993,ok,LT05_L2SP_189023_19950423_02_T1
1996,1996-05-11,landsat-5,30,5,False,54.0,0.996537,1.0,0.97068,ok,LT05_L2SP_189023_19960511_02_T2
1997,1997-06-06,landsat-5,30,6,True,11.0,0.847133,1.0,0.892079,ok,LT05_L2SP_190023_19970606_02_T1
1998,1998-05-17,landsat-5,30,5,False,11.0,0.951163,1.0,0.961779,ok,LT05_L2SP_189023_19980517_02_T1
1999,1999-05-20,landsat-5,30,5,False,0.0,0.999994,1.0,0.949996,ok,LT05_L2SP_189023_19990520_02_T1
2000,2000-05-13,landsat-5,30,5,False,0.0,0.999985,1.0,0.94999,ok,LT05_L2SP_190023_20000513_02_T1
2001,2001-05-08,landsat-7,30,5,False,0.0,0.999994,1.0,0.949996,ok,LE07_L2SP_190023_20010508_02_T1
2002,2002-05-04,landsat-7,30,5,False,0.0,0.999985,1.0,0.94999,ok,LE07_L2SP_189023_20020504_02_T1
2003,2003-05-30,landsat-7,30,5,False,0.0,0.999998,1.0,0.949999,ok,LE07_L2SP_190023_20030530_02_T1
2004,2004-05-01,landsat-5,30,5,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20040501_02_T1
2005,2005-05-27,landsat-5,30,5,False,20.0,0.994694,1.0,0.986445,ok,LT05_L2SP_190023_20050527_02_T1
2006,2006-05-07,landsat-5,30,5,False,5.0,0.928521,1.0,0.949609,ok,LT05_L2SP_189023_20060507_02_T1
2007,2007-05-02,landsat-7,30,5,False,4.0,0.999981,0.86826,0.9611,ok,LE07_L2SP_189023_20070502_02_T1
2008,2008-05-28,landsat-5,30,5,False,0.0,0.99999,1.0,0.949993,ok,LT05_L2SP_189023_20080528_02_T1
2009,2009-05-15,landsat-5,30,5,False,8.0,0.771096,1.0,0.842634,ok,LT05_L2SP_189023_20090515_02_T1
2010,2010-04-16,landsat-5,30,4,True,14.0,0.795713,1.0,0.856127,ok,LT05_L2SP_189023_20100416_02_T1
2011,2011-05-20,landsat-7,30,5,False,27.0,0.994151,0.66281,0.888168,ok,LE07_L2SP_190023_20110520_02_T1
2012,2012-05-22,landsat-7,30,5,False,4.0,0.999914,0.633229,0.895247,ok,LE07_L2SP_190023_20120522_02_T1
2013,2013-05-17,landsat-8,30,5,False,19.49,0.999996,1.0,0.990252,ok,LC08_L2SP_190023_20130517_02_T1
2014,2014-04-02,landsat-8,30,4,True,1.96,0.999519,1.0,0.998698,ok,LC08_L2SP_190023_20140402_02_T1
2015,2015-05-07,landsat-8,30,5,False,5.64,0.858125,1.0,0.902124,ok,LC08_L2SP_190023_20150507_02_T1
2016,2016-05-23,Sentinel-2A,10,5,False,0.460278,0.999226,1.0,1.024251,ok,S2A_MSIL2A_20160523T095032_R079_T33UYV_20210211T133807
2017,2017-05-18,Sentinel-2A,10,5,False,0.055662,0.998822,1.0,1.024183,ok,S2A_MSIL2A_20170518T095031_R079_T34UCE_20210209T162325
2018,2018-05-08,Sentinel-2B,10,5,False,0.059469,0.998385,1.0,1.023888,ok,S2B_MSIL2A_20180508T095029_R079_T34UCE_20201012T072713
2019,2019-05-01,Sentinel-2A,10,5,False,2.765254,0.999407,1.0,1.02322,ok,S2A_MSIL2A_20190501T100031_R122_T33UYV_20201006T083634
2020,2020-05-07,Sentinel-2B,10,5,False,7.85342,0.997431,1.0,1.019352,ok,S2B_MSIL2A_20200507T095029_R079_T33UYV_20200920T222553
2021,2021-05-12,Sentinel-2B,10,5,False,0.104802,0.995454,1.0,1.021902,ok,S2B_MSIL2A_20210512T095029_R079_T34UCE_20210606T070040
2022,2022-05-02,Sentinel-2A,10,5,False,5.472676,0.995922,1.0,1.019532,ok,S2A_MSIL2A_20220502T095031_R079_T33UYV_20220503T023437
2023,2023-05-30,Sentinel-2A,10,5,False,0.739762,0.998425,1.0,1.023575,ok,S2A_MSIL2A_20230530T100031_R122_T33UYV_20230530T153352
2024,2024-05-01,Sentinel-2A,10,5,False,0.510306,1.0,1.0,1.024745,ok,S2A_MSIL2A_20240501T095031_R079_T33UYV_20240501T154122
2025,2025-05-06,Sentinel-2C,10,5,False,0.252054,0.999996,1.0,1.024871,ok,S2C_MSIL2A_20250506T095051_R079_T33UYV_20250506T121455
2026,2026-05-01,Sentinel-2C,10,5,False,0.000367,1.0,1.0,1.025,ok,S2C_MSIL2A_20260501T095031_R079_T33UYV_20260501T132213
