year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.991173,1.0,0.993586,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-09-28,landsat-5,30,9,False,63.0,0.875923,1.0,0.885368,ok,LT05_L2SP_190023_19920928_02_T1
1993,1993-09-08,landsat-5,30,9,False,7.0,0.880106,0.999928,0.916151,ok,LT05_L2SP_189023_19930908_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,0.9999,1.0,0.949933,ok,LT05_L2SP_190023_19941020_02_T1
1995,,,,,,,,,,not_found_or_rejected,
1996,1996-09-23,landsat-5,30,9,False,22.0,0.999986,1.0,0.98899,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-11-13,landsat-5,30,11,True,100.0,0.0,1.0,0.28,ok,LT05_L2SP_190023_19971113_02_T2
1998,1998-09-06,landsat-5,30,9,False,2.0,0.997425,0.888784,0.966134,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,1.0,1.0,0.9975,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,0.993691,1.0,0.991273,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,1.0,0.999986,0.949996,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-25,landsat-7,30,9,False,16.0,0.999871,1.0,0.991914,ok,LE07_L2SP_189023_20020925_02_T1
2003,2003-09-20,landsat-5,30,9,False,19.0,0.818819,0.999485,0.868965,ok,LT05_L2SP_189023_20030920_02_T1
2004,2004-10-06,landsat-5,30,10,True,64.0,1.0,0.951359,0.954381,ok,LT05_L2SP_191022_20041006_02_T2
2005,2005-09-09,landsat-5,30,9,False,2.0,0.999599,1.0,0.998732,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-15,landsat-5,30,9,False,56.0,0.970458,1.0,0.952207,ok,LT05_L2SP_189023_20070915_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,0.989138,0.607153,0.832725,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-20,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20090920_02_T1
2010,2010-09-07,landsat-5,30,9,False,57.0,0.968712,1.0,0.950537,ok,LT05_L2SP_189023_20100907_02_T1
2011,2011-09-01,landsat-5,30,9,False,75.0,0.971917,1.0,0.943684,ok,LT05_L2SP_190023_20110901_02_T1
2012,2012-09-11,landsat-7,30,9,False,2.0,1.0,0.995465,0.99773,ok,LE07_L2SP_190023_20120911_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,1.0,1.0,0.999995,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,1.0,0.998526,0.999577,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-29,Sentinel-2A,10,9,False,17.578471,0.99334,1.0,1.011748,ok,S2A_MSIL2A_20150929T100016_R122_T34UCE_20210412T130945
2016,2016-09-13,Sentinel-2A,10,9,False,0.752187,0.99974,1.0,1.024449,ok,S2A_MSIL2A_20160913T100022_R122_T34UCE_20210213T003126
2017,2017-09-28,Sentinel-2A,10,9,False,2.730001,0.97894,1.0,1.009525,ok,S2A_MSIL2A_20170928T100021_R122_T33UYV_20210202T110611
2018,2018-09-03,Sentinel-2A,10,9,False,5.112681,0.999949,1.0,1.02241,ok,S2A_MSIL2A_20180903T100021_R122_T34UCE_20201011T075930
2019,2019-09-05,Sentinel-2A,10,9,False,31.99648,0.977079,1.0,0.993645,ok,S2A_MSIL2A_20190905T095031_R079_T33UYV_20201004T093058
2020,2020-09-12,Sentinel-2A,10,9,False,0.483824,0.999651,1.0,1.024524,ok,S2A_MSIL2A_20200912T100031_R122_T33UYV_20200918T134152
2021,2021-09-27,Sentinel-2A,10,9,False,0.330401,0.999708,1.0,1.024639,ok,S2A_MSIL2A_20210927T100031_R122_T33UYV_20210927T175724
2022,2022-09-04,Sentinel-2B,10,9,False,24.14601,1.0,1.0,1.012927,ok,S2B_MSIL2A_20220904T094549_R079_T33UYV_20240731T165745
2023,2023-09-12,Sentinel-2B,10,9,False,0.123749,1.0,1.0,1.024938,ok,S2B_MSIL2A_20230912T095609_R122_T33UYV_20241103T122113
2024,2024-09-08,Sentinel-2A,10,9,False,0.007657,0.999835,1.0,1.024886,ok,S2A_MSIL2A_20240908T095031_R079_T33UYV_20240908T133147
2025,2025-09-26,Sentinel-2C,10,9,False,0.012366,0.997276,1.0,1.023169,ok,S2C_MSIL2A_20250926T100041_R122_T33UYV_20250926T152116
2026,,,,,,,,,,not_found_or_rejected,
