year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.994006,1.0,0.995484,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,0.999986,1.0,0.94999,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-09-28,landsat-5,30,9,False,63.0,1.0,1.0,0.9685,ok,LT05_L2SP_190023_19920928_02_T1
1993,1993-09-08,landsat-5,30,9,False,7.0,0.734206,1.0,0.818418,ok,LT05_L2SP_189023_19930908_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,0.999914,1.0,0.949942,ok,LT05_L2SP_190023_19941020_02_T1
1995,1995-11-17,landsat-5,30,11,True,38.0,0.910415,1.0,0.920978,ok,LT05_L2SP_189023_19951117_02_T2
1996,1996-09-23,landsat-5,30,9,False,22.0,0.999986,1.0,0.98899,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-09-26,landsat-5,30,9,False,55.0,1.0,1.0,0.9725,ok,LT05_L2SP_190023_19970926_02_T1
1998,1998-09-06,landsat-5,30,9,False,2.0,0.876824,1.0,0.916472,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,1.0,1.0,0.9975,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,0.999914,1.0,0.995442,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,0.999986,1.0,0.94999,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-09,landsat-7,30,9,False,3.0,0.999828,1.0,0.998385,ok,LE07_L2SP_189023_20020909_02_T1
2003,2003-09-20,landsat-5,30,9,False,19.0,1.0,1.0,0.9905,ok,LT05_L2SP_189023_20030920_02_T1
2004,2004-09-06,landsat-5,30,9,False,15.0,0.876395,1.0,0.909685,ok,LT05_L2SP_189023_20040906_02_T1
2005,2005-09-09,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,0.999986,1.0,0.94999,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-23,landsat-7,30,9,False,54.0,1.0,0.81226,0.920433,ok,LE07_L2SP_189023_20070923_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,0.99993,0.820815,0.899782,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-20,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20090920_02_T1
2010,2010-09-23,landsat-5,30,9,False,0.0,0.999986,1.0,0.94999,ok,LT05_L2SP_189023_20100923_02_T1
2011,2011-09-17,landsat-5,30,9,False,42.0,0.999685,1.0,0.978789,ok,LT05_L2SP_190023_20110917_02_T1
2012,2012-09-04,landsat-7,30,9,False,22.0,0.95108,0.792518,0.898129,ok,LE07_L2SP_189023_20120904_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,1.0,1.0,0.999995,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,1.0,1.0,0.99999,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-29,Sentinel-2A,10,9,False,16.712859,0.963695,1.0,0.992319,ok,S2A_MSIL2A_20150929T100016_R122_T33UYV_20210412T130930
2016,2016-09-03,Sentinel-2A,10,9,False,15.809911,0.996743,1.0,1.014913,ok,S2A_MSIL2A_20160903T100032_R122_T33UYV_20210212T210307
2017,2017-09-28,Sentinel-2A,10,9,False,2.730001,0.981117,1.0,1.010984,ok,S2A_MSIL2A_20170928T100021_R122_T33UYV_20210202T110611
2018,2018-09-20,Sentinel-2A,10,9,False,11.577341,0.999638,1.0,1.018969,ok,S2A_MSIL2A_20180920T095021_R079_T34UCE_20201009T030240
2019,2019-09-05,Sentinel-2A,10,9,False,31.99648,0.999638,1.0,1.008759,ok,S2A_MSIL2A_20190905T095031_R079_T33UYV_20201004T093058
2020,2020-09-24,Sentinel-2B,10,9,False,4.762012,0.999987,1.0,1.02261,ok,S2B_MSIL2A_20200924T095029_R079_T33UYV_20200926T132532
2021,2021-09-27,Sentinel-2A,10,9,False,0.330401,0.99953,1.0,1.02452,ok,S2A_MSIL2A_20210927T100031_R122_T33UYV_20210927T175724
2022,2022-09-07,Sentinel-2B,10,9,False,36.093304,1.0,1.0,1.006953,ok,S2B_MSIL2A_20220907T095549_R122_T33UYV_20220908T011022
2023,2023-09-12,Sentinel-2B,10,9,False,0.123749,1.0,1.0,1.024938,ok,S2B_MSIL2A_20230912T095609_R122_T33UYV_20241103T122113
2024,2024-09-08,Sentinel-2A,10,9,False,0.007657,1.0,1.0,1.024996,ok,S2A_MSIL2A_20240908T095031_R079_T33UYV_20240908T133147
2025,2025-09-26,Sentinel-2C,10,9,False,0.012366,0.999371,1.0,1.024573,ok,S2C_MSIL2A_20250926T100041_R122_T33UYV_20250926T152116
2026,,,,,,,,,,not_found_or_rejected,
