year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-10-25,landsat-5,30,10,True,1.0,0.999026,1.0,0.998848,ok,LT05_L2SP_190023_19901025_02_T1
1991,1991-09-26,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_19910926_02_T1
1992,1992-10-14,landsat-5,30,10,True,6.0,0.90176,1.0,0.931179,ok,LT05_L2SP_190023_19921014_02_T1
1993,1993-09-24,landsat-5,30,9,False,36.0,0.946526,1.0,0.946173,ok,LT05_L2SP_189023_19930924_02_T1
1994,1994-10-20,landsat-5,30,10,True,0.0,0.999963,1.0,0.949975,ok,LT05_L2SP_190023_19941020_02_T1
1995,1995-10-23,landsat-5,30,10,True,46.0,0.713034,1.0,0.784733,ok,LT05_L2SP_190023_19951023_02_T1
1996,1996-09-23,landsat-5,30,9,False,22.0,1.0,1.0,0.989,ok,LT05_L2SP_190023_19960923_02_T1
1997,1997-09-03,landsat-5,30,9,False,34.0,0.994213,1.0,0.979123,ok,LT05_L2SP_189023_19970903_02_T1
1998,1998-09-06,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_19980906_02_T1
1999,1999-09-08,landsat-7,30,9,False,5.0,1.0,1.0,0.9975,ok,LE07_L2SP_190023_19990908_02_T1
2000,2000-09-18,landsat-5,30,9,False,9.0,0.788493,1.0,0.85379,ok,LT05_L2SP_190023_20000918_02_T2
2001,2001-10-24,landsat-7,30,10,True,0.0,0.999934,1.0,0.949956,ok,LE07_L2SP_189023_20011024_02_T1
2002,2002-09-09,landsat-7,30,9,False,3.0,0.997013,1.0,0.996499,ok,LE07_L2SP_189023_20020909_02_T1
2003,2003-09-20,landsat-5,30,9,False,19.0,0.917219,1.0,0.935037,ok,LT05_L2SP_189023_20030920_02_T1
2004,2004-09-06,landsat-5,30,9,False,15.0,0.897631,1.0,0.923913,ok,LT05_L2SP_189023_20040906_02_T1
2005,2005-09-09,landsat-5,30,9,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20050909_02_T1
2006,2006-09-12,landsat-5,30,9,False,0.0,0.999972,1.0,0.949981,ok,LT05_L2SP_189023_20060912_02_T1
2007,2007-09-15,landsat-5,30,9,False,56.0,0.861639,1.0,0.879298,ok,LT05_L2SP_189023_20070915_02_T1
2008,2008-09-25,landsat-7,30,9,False,0.0,0.975484,0.77647,0.870986,ok,LE07_L2SP_189023_20080925_02_T1
2009,2009-09-20,landsat-5,30,9,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20090920_02_T1
2010,2010-09-23,landsat-5,30,9,False,0.0,0.999925,1.0,0.94995,ok,LT05_L2SP_189023_20100923_02_T1
2011,2011-09-17,landsat-5,30,9,False,42.0,0.996704,1.0,0.976792,ok,LT05_L2SP_190023_20110917_02_T1
2012,2012-09-11,landsat-7,30,9,False,2.0,1.0,0.764279,0.932998,ok,LE07_L2SP_190023_20120911_02_T1
2013,2013-09-06,landsat-8,30,9,False,0.01,0.999972,1.0,0.999976,ok,LC08_L2SP_190023_20130906_02_T1
2014,2014-09-18,landsat-8,30,9,False,0.02,1.0,1.0,0.99999,ok,LC08_L2SP_189023_20140918_02_T1
2015,2015-09-19,Sentinel-2A,10,9,False,10.474658,0.830237,1.0,0.906022,ok,S2A_MSIL2A_20150919T100016_R122_T33UYU_20210412T111437
2016,2016-09-13,Sentinel-2A,10,9,False,0.509286,0.999767,1.0,1.024589,ok,S2A_MSIL2A_20160913T100022_R122_T33UYU_20210213T003140
2017,2017-09-28,Sentinel-2A,10,9,False,1.408944,0.998871,1.0,1.023539,ok,S2A_MSIL2A_20170928T100021_R122_T34UCD_20210202T110613
2018,2018-09-10,Sentinel-2A,10,9,False,3.882417,0.994646,1.0,1.019471,ok,S2A_MSIL2A_20180910T095031_R079_T33UYU_20201008T233528
2019,2019-09-05,Sentinel-2A,10,9,False,8.995528,0.999721,1.0,1.020315,ok,S2A_MSIL2A_20190905T095031_R079_T33UYU_20201004T093057
2020,2020-09-22,Sentinel-2A,10,9,False,0.068717,0.999383,1.0,1.024552,ok,S2A_MSIL2A_20200922T100031_R122_T34UCD_20201028T030642
2021,2021-09-07,Sentinel-2A,10,9,False,0.51851,0.999888,1.0,1.024665,ok,S2A_MSIL2A_20210907T100031_R122_T33UYU_20210907T204956
2022,2022-09-04,Sentinel-2B,10,9,False,17.49675,0.974662,1.0,0.999276,ok,S2B_MSIL2A_20220904T094549_R079_T34UCD_20240731T165745
2023,2023-09-12,Sentinel-2B,10,9,False,0.117752,1.0,1.0,1.024941,ok,S2B_MSIL2A_20230912T095609_R122_T33UYU_20230912T163130
2024,2024-09-21,Sentinel-2A,10,9,False,0.117317,0.999967,1.0,1.024919,ok,S2A_MSIL2A_20240921T100031_R122_T33UYU_20240921T123352
2025,2025-09-01,Sentinel-2B,10,9,False,2.848883,0.997971,1.0,1.022216,ok,S2B_MSIL2A_20250901T100029_R122_T33UYU_20250901T135952
2026,,,,,,,,,,not_found_or_rejected,
