year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-05-11,landsat-5,30,5,False,3.0,1.0,1.0,0.9985,ok,LT05_L2SP_189023_19900511_02_T1
1991,1991-05-30,landsat-5,30,5,False,14.0,0.937163,1.0,0.950899,ok,LT05_L2SP_189023_19910530_02_T1
1992,1992-05-16,landsat-5,30,5,False,0.0,0.999981,1.0,0.949987,ok,LT05_L2SP_189023_19920516_02_T1
1993,1993-05-26,landsat-5,30,5,False,33.0,1.0,1.0,0.9835,ok,LT05_L2SP_190023_19930526_02_T1
1994,1994-05-06,landsat-5,30,5,False,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_19940506_02_T1
1995,1995-04-23,landsat-5,30,4,True,0.0,0.999991,1.0,0.949994,ok,LT05_L2SP_189023_19950423_02_T1
1996,1996-05-18,landsat-5,30,5,False,11.0,0.944148,1.0,0.957079,ok,LT05_L2SP_190023_19960518_02_T1
1997,1997-05-14,landsat-5,30,5,False,7.0,1.0,1.0,0.9965,ok,LT05_L2SP_189023_19970514_02_T1
1998,1998-05-01,landsat-5,30,5,False,18.0,0.879831,1.0,0.910487,ok,LT05_L2SP_189023_19980501_02_T2
1999,1999-05-20,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_19990520_02_T1
2000,2000-05-13,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_20000513_02_T1
2001,2001-05-08,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_190023_20010508_02_T1
2002,2002-05-04,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_189023_20020504_02_T1
2003,2003-05-30,landsat-7,30,5,False,0.0,0.999167,1.0,0.949442,ok,LE07_L2SP_190023_20030530_02_T1
2004,2004-05-01,landsat-5,30,5,False,2.0,0.999176,1.0,0.998448,ok,LT05_L2SP_189023_20040501_02_T1
2005,2005-05-20,landsat-5,30,5,False,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_20050520_02_T1
2006,2006-05-07,landsat-5,30,5,False,5.0,1.0,1.0,0.9975,ok,LT05_L2SP_189023_20060507_02_T1
2007,2007-05-26,landsat-5,30,5,False,32.0,0.966507,1.0,0.96156,ok,LT05_L2SP_189023_20070526_02_T1
2008,2008-05-28,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20080528_02_T1
2009,2009-05-15,landsat-5,30,5,False,8.0,0.812191,1.0,0.870168,ok,LT05_L2SP_189023_20090515_02_T1
2010,2010-05-02,landsat-5,30,5,False,56.0,0.947444,1.0,0.936787,ok,LT05_L2SP_189023_20100502_02_T1
2011,2011-05-20,landsat-7,30,5,False,27.0,1.0,0.756096,0.918207,ok,LE07_L2SP_190023_20110520_02_T1
2012,2012-05-22,landsat-7,30,5,False,4.0,1.0,0.72677,0.921496,ok,LE07_L2SP_190023_20120522_02_T1
2013,2013-05-17,landsat-8,30,5,False,19.49,1.0,1.0,0.990255,ok,LC08_L2SP_190023_20130517_02_T1
2014,2014-05-20,landsat-8,30,5,False,9.54,0.981358,1.0,0.98274,ok,LC08_L2SP_190023_20140520_02_T1
2015,2015-05-07,landsat-8,30,5,False,5.64,0.980309,1.0,0.983987,ok,LC08_L2SP_190023_20150507_02_T1
2016,2016-05-23,Sentinel-2A,10,5,False,0.634155,0.999625,1.0,1.024432,ok,S2A_MSIL2A_20160523T095032_R079_T34UCD_20210211T133807
2017,2017-05-18,Sentinel-2A,10,5,False,0.077345,0.999654,1.0,1.02473,ok,S2A_MSIL2A_20170518T095031_R079_T34UCD_20210209T162313
2018,2018-05-08,Sentinel-2B,10,5,False,0.070909,0.999596,1.0,1.024694,ok,S2B_MSIL2A_20180508T095029_R079_T34UCD_20201026T090856
2019,2019-05-01,Sentinel-2A,10,5,False,0.467423,0.999733,1.0,1.024588,ok,S2A_MSIL2A_20190501T100031_R122_T34UCD_20201006T083634
2020,2020-05-15,Sentinel-2A,10,5,False,0.289688,0.999683,1.0,1.024643,ok,S2A_MSIL2A_20200515T100031_R122_T33UYU_20200918T065614
2021,2021-05-12,Sentinel-2B,10,5,False,0.166811,0.999188,1.0,1.024372,ok,S2B_MSIL2A_20210512T095029_R079_T34UCD_20210606T084005
2022,2022-05-10,Sentinel-2B,10,5,False,7.722235,0.998408,1.0,1.020072,ok,S2B_MSIL2A_20220510T100029_R122_T34UCD_20240612T220829
2023,2023-05-10,Sentinel-2A,10,5,False,0.05109,1.0,1.0,1.024974,ok,S2A_MSIL2A_20230510T100031_R122_T34UCD_20230510T160505
2024,2024-05-01,Sentinel-2A,10,5,False,13.758209,0.999754,1.0,1.017956,ok,S2A_MSIL2A_20240501T095031_R079_T34UCD_20240501T154242
2025,2025-05-06,Sentinel-2C,10,5,False,6.337713,0.997775,1.0,1.02034,ok,S2C_MSIL2A_20250506T095051_R079_T33UYU_20250506T121455
2026,2026-05-01,Sentinel-2C,10,5,False,0.000806,1.0,1.0,1.025,ok,S2C_MSIL2A_20260501T095031_R079_T34UCD_20260501T132213
