year,date_start,date_end,platforms,orbit_state,relative_orbit,acquisitions_used,selection_mode,body,body_label,area_m2,area_ha,change_vs_baseline_m2,change_vs_baseline_percent,baseline_year,water_pixels,seed_distance_m,vv_threshold_db,vh_threshold_db,edge_pixel_uncertainty_m2,confidence,measurement_status,record_status
2015,2015-05-06,2015-05-30,SENTINEL-1A,descending,124,3,preferred_track,jezioro_kuchnia,Jezioro Kuchnia,71700.0,7.17,0.0,0.0,2015,717,31.622776601683796,-12.0,-17.182193038463595,800.0,medium,ok,ok
2015,2015-05-06,2015-05-30,SENTINEL-1A,descending,124,3,preferred_track,staw_w_lesie,Staw w lesie,1700.0,0.17,0.0,0.0,2015,17,0.0,-12.0,-17.0,400.0,high,ok,ok
2016,2016-05-12,2016-05-24,SENTINEL-1A,descending,124,2,preferred_track,jezioro_kuchnia,Jezioro Kuchnia,69500.0,6.95,-2200.0,-3.0683403068340307,2015,695,36.05551275463989,-12.327793266673883,-17.03099440435569,1000.0,medium,ok,ok
2016,2016-05-12,2016-05-24,SENTINEL-1A,descending,124,2,preferred_track,staw_w_lesie,Staw w lesie,1800.0,0.18,100.0,5.88235294117647,2015,18,0.0,-12.0,-17.0,200.0,high,ok,ok
2017,2017-05-07,2017-05-19,SENTINEL-1A;SENTINEL-1B,descending,124,3,preferred_track,jezioro_kuchnia,Jezioro Kuchnia,74100.0,7.41,2400.0,3.3472803347280333,2015,741,40.0,-13.258982574641724,-17.32308412313462,300.0,medium,ok,ok
2017,2017-05-07,2017-05-19,SENTINEL-1A;SENTINEL-1B,descending,124,3,preferred_track,staw_w_lesie,Staw w lesie,1700.0,0.17,0.0,0.0,2015,17,0.0,-12.0,-17.0,100.0,high,ok,ok
2018,2018-05-08,2018-05-20,SENTINEL-1A;SENTINEL-1B,descending,124,3,preferred_track,jezioro_kuchnia,Jezioro Kuchnia,75100.0,7.51,3400.0,4.741980474198047,2015,751,40.0,-13.130090901553634,-18.065745426416402,500.0,medium,ok,ok
2018,2018-05-08,2018-05-20,SENTINEL-1A;SENTINEL-1B,descending,124,3,preferred_track,staw_w_lesie,Staw w lesie,2500.0,0.25,800.0,47.05882352941176,2015,25,0.0,-12.0,-17.0,100.0,high,ok,ok
2019,2019-05-09,2019-05-21,SENTINEL-1A;SENTINEL-1B,descending,124,3,preferred_track,jezioro_kuchnia,Jezioro Kuchnia,70700.0,7.07,-1000.0,-1.394700139470014,2015,707,36.05551275463989,-12.371508618667741,-17.501645707289377,800.0,medium,ok,ok
2019,2019-05-09,2019-05-21,SENTINEL-1A;SENTINEL-1B,descending,124,3,preferred_track,staw_w_lesie,Staw w lesie,800.0,0.08,-900.0,-52.94117647058824,2015,8,28.284271247461902,-12.0,-17.0,400.0,high,ok,ok
