year,date_start,date_end,platforms,orbit_state,relative_orbit,acquisitions_used,body,body_label,area_m2,area_ha,change_vs_baseline_m2,change_vs_baseline_percent,baseline_year,water_pixels,seed_distance_m,fixed_vv_threshold_db,fixed_vh_threshold_db,very_dark_vv_override_db,median_water_vv_db,median_water_vh_db,stable_core_overlap_fraction,edge_pixel_uncertainty_m2,confidence,measurement_status
2015,2015-05-06,2015-05-30,SENTINEL-1A,descending,124,3,jezioro_kuchnia,Jezioro Kuchnia,73500.0,7.35,0.0,0.0,2015,735,31.622776601683796,-12.0,-16.5,-15.0,-17.391868591308594,-22.765361785888672,0.8886138613861386,700.0,high,
2015,2015-05-06,2015-05-30,SENTINEL-1A,descending,124,3,staw_w_lesie,Staw w lesie,2000.0,0.2,-6800.0,-77.27272727272727,2018,20,0.0,-12.0,-16.5,-15.0,-13.633539199829102,-18.39200210571289,0.1941747572815534,100.0,low,
2016,2016-05-12,2016-05-24,SENTINEL-1A,descending,124,2,jezioro_kuchnia,Jezioro Kuchnia,71500.0,7.15,-2000.0,-2.7210884353741496,2015,715,36.05551275463989,-12.0,-16.5,-15.0,-18.51776885986328,-22.647249221801758,0.8811881188118812,800.0,high,
2016,2016-05-12,2016-05-24,SENTINEL-1A,descending,124,2,staw_w_lesie,Staw w lesie,2100.0,0.21,-6700.0,-76.13636363636364,2018,21,0.0,-12.0,-16.5,-15.0,-13.947986602783203,-18.829830169677734,0.1941747572815534,300.0,low,
2017,2017-05-07,2017-05-19,SENTINEL-1A;SENTINEL-1B,descending,124,3,jezioro_kuchnia,Jezioro Kuchnia,81200.0,8.12,7700.0,10.476190476190476,2015,812,31.622776601683796,-12.0,-16.5,-15.0,-19.420795440673828,-22.955230712890625,0.969059405940594,100.0,high,
2017,2017-05-07,2017-05-19,SENTINEL-1A;SENTINEL-1B,descending,124,3,staw_w_lesie,Staw w lesie,1900.0,0.19,-6900.0,-78.4090909090909,2018,19,0.0,-12.0,-16.5,-15.0,-13.623127937316895,-18.86343765258789,0.18446601941747573,200.0,low,
2018,2018-05-08,2018-05-20,SENTINEL-1A;SENTINEL-1B,descending,124,3,jezioro_kuchnia,Jezioro Kuchnia,79900.0,7.99,6400.0,8.707482993197278,2015,799,40.0,-12.0,-16.5,-15.0,-19.79499626159668,-23.39556884765625,0.9665841584158416,500.0,high,
2018,2018-05-08,2018-05-20,SENTINEL-1A;SENTINEL-1B,descending,124,3,staw_w_lesie,Staw w lesie,8800.0,0.88,0.0,0.0,2018,88,0.0,-12.0,-16.5,-15.0,-14.316377639770508,-19.328901290893555,0.8252427184466019,200.0,high,
2019,2019-05-09,2019-05-21,SENTINEL-1A;SENTINEL-1B,descending,124,3,jezioro_kuchnia,Jezioro Kuchnia,71800.0,7.18,-1700.0,-2.312925170068027,2015,718,36.05551275463989,-12.0,-16.5,-15.0,-17.871286392211914,-22.989551544189453,0.8824257425742574,800.0,high,
2019,2019-05-09,2019-05-21,SENTINEL-1A;SENTINEL-1B,descending,124,3,staw_w_lesie,Staw w lesie,800.0,0.08,-8000.0,-90.9090909090909,2018,8,28.284271247461902,-12.0,-16.5,-15.0,-14.078035354614258,-19.70524024963379,0.07766990291262135,400.0,low,
