year,date1,date2,same_date,platform1,platform2,pathrow1,pathrow2,edge_corr,gray_corr,shift_y,shift_x,image_content_agrees,same_observation_not_independent,pathrow_discrepancy
1990,1990-05-02,1990-05-02,True,landsat-5,landsat-5,190023,190023,0.905289605622828,0.9870504138301456,0,0,True,True,False
1991,1991-05-30,1991-05-30,True,landsat-5,landsat-5,189023,189023,0.9296935703676957,0.991520467284345,0,0,True,True,False
1992,1992-05-16,1992-05-16,True,landsat-5,landsat-5,189023,189023,0.9217056541423035,0.990271250659012,0,0,True,True,False
1993,1993-05-10,1993-05-10,True,landsat-5,landsat-5,190023,190022,0.0,0.0,0,0,False,False,True
1994,1994-05-06,1994-05-06,True,landsat-5,landsat-5,189023,189023,0.8890469921629601,0.9875483555690299,0,0,True,True,False
1995,1995-05-09,1995-05-09,True,landsat-5,landsat-5,189023,189023,0.008937469333413656,0.4735770128525974,0,0,False,True,False
1996,1996-05-27,1996-05-18,False,landsat-5,landsat-5,189023,190023,0.5119480076059725,0.5172976824966735,0,0,True,False,False
1997,1997-05-14,1997-05-14,True,landsat-5,landsat-5,189023,189023,0.8965205794474873,0.9894581921822113,0,0,True,True,False
1998,1998-05-17,1998-05-17,True,landsat-5,landsat-5,189023,189023,0.9185877428593457,0.9878156675989878,0,0,True,True,False
1999,1999-05-20,1999-05-20,True,landsat-5,landsat-5,189023,189023,0.8965045429628073,0.9849067741100326,0,0,True,True,False
2000,2000-05-13,2000-05-13,True,landsat-5,landsat-5,190023,190023,0.9253481154011787,0.990826472089919,0,0,True,True,False
2001,2001-05-08,2001-05-08,True,landsat-7,landsat-7,190023,190023,0.5053431389945484,0.8344941429032702,0,0,True,True,False
2002,2002-05-04,2002-05-11,False,landsat-7,landsat-7,189023,190022,0.0,0.0,0,0,False,False,False
2003,2003-05-30,2003-05-30,True,landsat-7,landsat-7,190023,190023,0.5324704413116519,0.8400793511950261,0,0,True,True,False
2004,2004-05-01,2004-05-01,True,landsat-5,landsat-5,189023,189023,0.8990484933033246,0.9884222532334255,0,0,True,True,False
2005,2005-05-20,2005-05-28,False,landsat-5,landsat-7,189023,189023,0.2421135355587562,0.25385410215766685,0,1,False,False,False
2006,2006-05-07,2006-05-07,True,landsat-5,landsat-5,189023,189023,0.83507167162395,0.9855463809871692,0,0,True,True,False
2007,2007-05-01,2007-05-25,False,landsat-5,landsat-7,190023,190023,0.15606618264594393,0.4214825956044932,-8,3,False,False,False
2008,2008-05-28,2008-05-28,True,landsat-5,landsat-5,189023,189023,0.8841422618536146,0.9865794496767405,0,0,True,True,False
2009,2009-05-15,2009-05-15,True,landsat-5,landsat-5,189023,189023,0.9483988133972057,0.9962509335212437,0,0,True,True,False
2010,2010-05-26,2010-05-02,False,landsat-7,landsat-5,189023,189023,-0.16815357705785483,-0.4222351536903903,0,0,False,False,False
2011,2011-05-20,2011-05-21,False,landsat-7,landsat-5,190023,189023,0.000149677870646952,0.04762750009338915,0,0,False,False,False
2012,2012-05-22,2012-05-22,True,landsat-7,landsat-7,190023,190022,0.0,0.0,0,0,False,False,True
2013,2013-05-17,2013-05-17,True,landsat-8,landsat-8,190023,190022,0.0,0.0,0,0,False,False,True
2014,2014-05-20,2014-05-20,True,landsat-8,landsat-8,190022,190023,0.662998566040486,0.8785807097966136,0,0,True,False,True
2018,2018-05-08,2018-05-31,False,Sentinel-2B,sentinel-2b,,,0.7400934616024574,0.8691792687403728,1,0,True,False,False
2019,2019-05-01,2019-05-01,True,Sentinel-2A,sentinel-2a,,,0.9865509786942835,0.990662508893863,0,0,True,True,False
2020,2020-05-07,2020-05-07,True,Sentinel-2B,sentinel-2b,,,0.9806705569966122,0.9934513660560771,1,0,True,True,False
2021,2021-05-12,2021-05-12,True,Sentinel-2B,sentinel-2b,,,0.989038133938363,0.9963712956140158,0,0,True,True,False
2023,2023-05-30,2023-05-30,True,Sentinel-2A,sentinel-2a,,,0.9963492924455102,0.9971741260273329,0,0,True,True,False
2024,2024-05-01,2024-05-01,True,Sentinel-2A,sentinel-2a,,,0.9884145558056605,0.9890575445737003,0,0,True,True,False
2025,2025-05-06,2025-05-06,True,Sentinel-2C,sentinel-2c,,,1.0,1.0,0,0,True,True,False
