adaptive_threshold,area_m2,date,error,high_m2,lake_core_mndwi_median,lake_core_mndwi_q10,low_m2,manifest_clear,manifest_valid,nir_limit,platform,resolution_m,year
-0.35,554469,1990-05-02,,762508,-0.3917,-0.4497,355475,1.0,1.0,0.2607,landsat-5,30,1990
-0.35,548137,1991-05-30,,738990,-0.3881,-0.4578,369043,0.941635,1.0,0.3,landsat-5,30,1991
-0.35,1025722,1992-05-16,,1478885,-0.3339,-0.3831,557182,1.0,1.0,0.2962,landsat-5,30,1992
-0.35,769744,1993-05-10,,1098988,-0.3568,-0.4281,432359,1.0,1.0,0.3,landsat-5,30,1993
-0.35,734468,1994-05-06,,1062807,-0.3634,-0.4321,433264,1.0,1.0,0.273,landsat-5,30,1994
,,1995-05-09,RuntimeError('lake core unavailable'),,,,,,,,landsat-5,,1995
-0.35,580700,1996-05-27,,799593,-0.3931,-0.4841,370852,0.999777,1.0,0.3,landsat-5,30,1996
-0.35,172763,1997-05-14,,297586,-0.4012,-0.4437,68743,0.203832,1.0,0.3,landsat-5,30,1997
-0.35,549946,1998-05-17,,758890,-0.4455,-0.5375,350953,1.0,1.0,0.3,landsat-5,30,1998
-0.35,596981,1999-05-20,,825824,-0.4224,-0.49,376279,1.0,1.0,0.3,landsat-5,30,1999
-0.35,532760,2000-05-13,,738086,-0.4519,-0.538,334671,1.0,1.0,0.3,landsat-5,30,2000
-0.35,523715,2001-05-08,,736277,-0.4646,-0.5112,321104,1.0,1.0,0.2565,landsat-7,30,2001
-0.35,502911,2002-05-04,,700096,-0.4764,-0.5213,316581,1.0,1.0,0.2972,landsat-7,30,2002
-0.35,505625,2003-05-30,,699192,-0.4905,-0.5541,318390,1.0,1.0,0.3,landsat-7,30,2003
-0.35,533665,2004-05-01,,735372,-0.4316,-0.4934,341003,1.0,1.0,0.2618,landsat-5,30,2004
-0.35,535474,2005-05-20,,736277,-0.4209,-0.4705,341907,1.0,1.0,0.3,landsat-5,30,2005
-0.35,1676974,2006-05-07,,2250438,-0.2547,-0.3429,948838,0.999777,1.0,0.3,landsat-5,30,2006
-0.35,1466222,2007-05-01,,2023404,-0.2833,-0.3554,807734,0.925373,1.0,0.2894,landsat-5,30,2007
-0.35,508339,2008-05-28,,705523,-0.4916,-0.5632,318390,1.0,1.0,0.3,landsat-5,30,2008
-0.35,503816,2009-05-15,,699192,-0.4432,-0.5259,316581,0.773001,1.0,0.3,landsat-5,30,2009
-0.35,232461,2010-05-26,,331958,-0.4371,-0.4921,142914,0.46685,0.729116,0.3,landsat-7,30,2010
-0.35,44321,2011-05-20,,85929,-0.3844,-0.4529,13568,0.643886,0.788817,0.3,landsat-7,30,2011
-0.35,348239,2012-05-22,,501102,-0.4381,-0.536,206230,1.0,0.757184,0.3,landsat-7,30,2012
-0.35,490248,2013-05-17,,685624,-0.4832,-0.5212,303013,1.0,1.0,0.3,landsat-8,30,2013
-0.35,459495,2014-05-20,,672056,-0.4044,-0.447,249647,0.976164,1.0,0.3,landsat-8,30,2014
-0.35,509243,2015-05-07,,703714,-0.4734,-0.5012,319294,1.0,1.0,0.3,landsat-8,30,2015
-0.35,494500,2016-05-23,,559200,-0.4723,-0.5425,430700,1.0,1.0,0.3,Sentinel-2A,10,2016
-0.35,522400,2017-05-18,,608100,-0.4343,-0.5551,427200,1.0,1.0,0.3,Sentinel-2A,10,2017
-0.35,470100,2018-05-08,,547100,-0.4251,-0.5334,392100,1.0,1.0,0.3,Sentinel-2B,10,2018
-0.35,497700,2019-05-01,,576300,-0.4339,-0.5351,419700,1.0,1.0,0.3,Sentinel-2A,10,2019
-0.35,447400,2020-05-07,,518200,-0.4425,-0.5457,377800,0.9957,1.0,0.3,Sentinel-2B,10,2020
-0.35,495900,2021-05-12,,571800,-0.4613,-0.5602,419900,0.9999,1.0,0.3,Sentinel-2B,10,2021
-0.35,567800,2022-05-10,,649700,-0.17,-0.2619,486900,1.0,1.0,0.3,Sentinel-2B,10,2022
-0.35,491500,2023-05-30,,559800,-0.2253,-0.2859,424900,1.0,1.0,0.3,Sentinel-2A,10,2023
-0.35,549400,2024-05-01,,623400,-0.1917,-0.2695,475300,1.0,1.0,0.3,Sentinel-2A,10,2024
-0.35,525900,2025-05-06,,597100,-0.2015,-0.2655,455000,1.0,1.0,0.3,Sentinel-2C,10,2025
-0.35,737100,2026-05-01,,906600,-0.2442,-0.3212,573200,1.0,1.0,0.3,Sentinel-2C,10,2026
