confidence,date,index,item_id,lake_high_m2,lake_kuchnia_area_m2,lake_low_m2,manifest_local_clear_fraction,manifest_local_valid_fraction,platform,pond_area_m2,pond_high_m2,pond_low_m2,resolution_m,spectral_clear_fraction,year
high,1990-05-02,MNDWI+NDWI,LT05_L2SP_190023_19900502_02_T1,24300.0,8100.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1990
medium,1991-05-30,MNDWI+NDWI,LT05_L2SP_189023_19910530_02_T1,461700.0,306900.0,159300.0,0.941635,1.0,landsat-5,900.0,8100.0,0.0,30,0.963316,1991
high,1992-05-16,MNDWI+NDWI,LT05_L2SP_189023_19920516_02_T1,900.0,0.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1992
high,1993-05-10,MNDWI+NDWI,LT05_L2SP_190023_19930510_02_T1,900.0,0.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1993
high,1994-05-06,MNDWI+NDWI,LT05_L2SP_189023_19940506_02_T1,8100.0,900.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1994
low,1995-05-09,MNDWI+NDWI,LT05_L2SP_189023_19950509_02_T1,900.0,0.0,0.0,0.0,1.0,landsat-5,0.0,900.0,0.0,30,0.0,1995
high,1996-05-27,MNDWI+NDWI,LT05_L2SP_189023_19960527_02_T1,900.0,0.0,0.0,0.999777,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1996
low,1997-05-14,MNDWI+NDWI,LT05_L2SP_189023_19970514_02_T1,900.0,0.0,0.0,0.203832,1.0,landsat-5,0.0,900.0,0.0,30,0.548789,1997
high,1998-05-17,MNDWI+NDWI,LT05_L2SP_189023_19980517_02_T1,16200.0,3600.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1998
high,1999-05-20,MNDWI+NDWI,LT05_L2SP_189023_19990520_02_T1,15300.0,2700.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,1999
high,2000-05-13,MNDWI+NDWI,LT05_L2SP_190023_20000513_02_T1,337500.0,196200.0,49500.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,2000
high,2001-05-08,MNDWI+NDWI,LE07_L2SP_190023_20010508_02_T1,237600.0,131400.0,33300.0,1.0,1.0,landsat-7,0.0,900.0,0.0,30,1.0,2001
high,2002-05-04,MNDWI+NDWI,LE07_L2SP_189023_20020504_02_T1,900.0,0.0,0.0,1.0,1.0,landsat-7,0.0,900.0,0.0,30,1.0,2002
high,2003-05-30,MNDWI+NDWI,LE07_L2SP_190023_20030530_02_T1,900.0,0.0,0.0,1.0,1.0,landsat-7,0.0,900.0,0.0,30,1.0,2003
high,2004-05-01,MNDWI+NDWI,LT05_L2SP_189023_20040501_02_T1,10800.0,1800.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,2004
high,2005-05-20,MNDWI+NDWI,LT05_L2SP_189023_20050520_02_T1,16200.0,3600.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,2005
high,2006-05-07,MNDWI+NDWI,LT05_L2SP_189023_20060507_02_T1,900.0,0.0,0.0,0.999777,1.0,landsat-5,0.0,900.0,0.0,30,0.999633,2006
low,2007-05-01,MNDWI+NDWI,LT05_L2SP_190023_20070501_02_T2,505800.0,345600.0,195300.0,0.925373,1.0,landsat-5,0.0,900.0,0.0,30,0.691489,2007
high,2008-05-28,MNDWI+NDWI,LT05_L2SP_189023_20080528_02_T1,8100.0,900.0,0.0,1.0,1.0,landsat-5,0.0,900.0,0.0,30,1.0,2008
low,2009-05-15,MNDWI+NDWI,LT05_L2SP_189023_20090515_02_T1,33300.0,11700.0,0.0,0.773001,1.0,landsat-5,0.0,900.0,0.0,30,0.887564,2009
low,2010-05-26,MNDWI+NDWI,LE07_L2SP_189023_20100526_02_T1,16200.0,3600.0,0.0,0.46685,0.729116,landsat-7,0.0,900.0,0.0,30,0.484226,2010
low,2011-05-20,MNDWI+NDWI,LE07_L2SP_190023_20110520_02_T1,900.0,0.0,0.0,0.643886,0.788817,landsat-7,0.0,900.0,0.0,30,0.596845,2011
low,2012-05-22,MNDWI+NDWI,LE07_L2SP_190023_20120522_02_T1,188100.0,120600.0,58500.0,1.0,0.757184,landsat-7,0.0,900.0,0.0,30,0.771277,2012
high,2013-05-17,MNDWI+NDWI,LC08_L2SP_190023_20130517_02_T1,451800.0,294300.0,150300.0,1.0,1.0,landsat-8,0.0,900.0,0.0,30,1.0,2013
